71,81,91
72,82,92
73,83,93
74,84,94
75,85,95
76,86,96
61,71,81
62,72,82
63,73,83
64,74,84
65,75,85
66,76,86
51,61,71
52,62,72
53,63,73
54,64,74
55,65,75
56,66,76
41,51,61
42,52,62
43,53,63
44,54,64
45,55,65
46,56,66
31,41,51
32,42,52
33,43,53
34,44,54
35,45,55
36,46,56
21,31,41
22,32,42
23,33,43
24,34,44
25,35,45
26,36,46
11,21,31
12,22,32
13,23,33
14,24,34
15,25,35
16,26,36
91,92,93
91,92,94
91,92,95
91,92,96
91,93,94
91,93,95
91,93,96
91,94,95
91,94,96
91,95,96
92,93,94
92,93,95
92,93,96
92,94,95
92,94,96
92,95,96
93,94,95
93,94,96
93,95,96
94,95,96
81,82,83
81,82,84
81,82,85
81,82,86
81,83,84
81,83,85
81,83,86
81,84,85
81,84,86
81,85,86
82,83,84
82,83,85
82,83,86
82,84,85
82,84,86
82,85,86
83,84,85
83,84,86
83,85,86
84,85,86
71,72,73
71,72,74
71,72,75
71,72,76
71,73,74
71,73,75
71,73,76
71,74,75
71,74,76
71,75,76
72,73,74
72,73,75
72,73,76
72,74,75
72,74,76
72,75,76
73,74,75
73,74,76
73,75,76
74,75,76
61,62,63
61,62,64
61,62,65
61,62,66
61,63,64
61,63,65
61,63,66
61,64,65
61,64,66
61,65,66
62,63,64
62,63,65
62,63,66
62,64,65
62,64,66
62,65,66
63,64,65
63,64,66
63,65,66
64,65,66
51,52,53
51,52,54
51,52,55
51,52,56
51,53,54
51,53,55
51,53,56
51,54,55
51,54,56
51,55,56
52,53,54
52,53,55
52,53,56
52,54,55
52,54,56
52,55,56
53,54,55
53,54,56
53,55,56
54,55,56
41,42,43
41,42,44
41,42,45
41,42,46
41,43,44
41,43,45
41,43,46
41,44,45
41,44,46
41,45,46
42,43,44
42,43,45
42,43,46
42,44,45
42,44,46
42,45,46
43,44,45
43,44,46
43,45,46
44,45,46
31,32,33
31,32,34
31,32,35
31,32,36
31,33,34
31,33,35
31,33,36
31,34,35
31,34,36
31,35,36
32,33,34
32,33,35
32,33,36
32,34,35
32,34,36
32,35,36
33,34,35
33,34,36
33,35,36
34,35,36
21,22,23
21,22,24
21,22,25
21,22,26
21,23,24
21,23,25
21,23,26
21,24,25
21,24,26
21,25,26
22,23,24
22,23,25
22,23,26
22,24,25
22,24,26
22,25,26
23,24,25
23,24,26
23,25,26
24,25,26
11,12,13
11,12,14
11,12,15
11,12,16
11,13,14
11,13,15
11,13,16
11,14,15
11,14,16
11,15,16
12,13,14
12,13,15
12,13,16
12,14,15
12,14,16
12,15,16
13,14,15
13,14,16
13,15,16
14,15,16
61,81,91
62,82,92
63,83,93
64,84,94
65,85,95
66,86,96
51,81,91
52,82,92
53,83,93
54,84,94
55,85,95
56,86,96
61,71,91
62,72,92
63,73,93
64,74,94
65,75,95
66,76,96
41,81,91
42,82,92
43,83,93
44,84,94
45,85,95
46,86,96
51,71,91
52,72,92
53,73,93
54,74,94
55,75,95
56,76,96
31,81,91
32,82,92
33,83,93
34,84,94
35,85,95
36,86,96
41,71,91
42,72,92
43,73,93
44,74,94
45,75,95
46,76,96
51,61,91
52,62,92
53,63,93
54,64,94
55,65,95
56,66,96
51,71,81
52,72,82
53,73,83
54,74,84
55,75,85
56,76,86
21,81,91
22,82,92
23,83,93
24,84,94
25,85,95
26,86,96
31,71,91
32,72,92
33,73,93
34,74,94
35,75,95
36,76,96
41,61,91
42,62,92
43,63,93
44,64,94
45,65,95
46,66,96
41,71,81
42,72,82
43,73,83
44,74,84
45,75,85
46,76,86
51,61,81
52,62,82
53,63,83
54,64,84
55,65,85
56,66,86
11,81,91
12,82,92
13,83,93
14,84,94
15,85,95
16,86,96
21,71,91
22,72,92
23,73,93
24,74,94
25,75,95
26,76,96
31,61,91
32,62,92
33,63,93
34,64,94
35,65,95
36,66,96
31,71,81
32,72,82
33,73,83
34,74,84
35,75,85
36,76,86
41,51,91
42,52,92
43,53,93
44,54,94
45,55,95
46,56,96
41,61,81
42,62,82
43,63,83
44,64,84
45,65,85
46,66,86
11,71,91
12,72,92
13,73,93
14,74,94
15,75,95
16,76,96
21,61,91
22,62,92
23,63,93
24,64,94
25,65,95
26,66,96
21,71,81
22,72,82
23,73,83
24,74,84
25,75,85
26,76,86
31,51,91
32,52,92
33,53,93
34,54,94
35,55,95
36,56,96
31,61,81
32,62,82
33,63,83
34,64,84
35,65,85
36,66,86
41,51,81
42,52,82
43,53,83
44,54,84
45,55,85
46,56,86
41,61,71
42,62,72
43,63,73
44,64,74
45,65,75
46,66,76
11,61,91
12,62,92
13,63,93
14,64,94
15,65,95
16,66,96
11,71,81
12,72,82
13,73,83
14,74,84
15,75,85
16,76,86
21,51,91
22,52,92
23,53,93
24,54,94
25,55,95
26,56,96
21,61,81
22,62,82
23,63,83
24,64,84
25,65,85
26,66,86
31,41,91
32,42,92
33,43,93
34,44,94
35,45,95
36,46,96
31,51,81
32,52,82
33,53,83
34,54,84
35,55,85
36,56,86
31,61,71
32,62,72
33,63,73
34,64,74
35,65,75
36,66,76
41,51,71
42,52,72
43,53,73
44,54,74
45,55,75
46,56,76
11,51,91
12,52,92
13,53,93
14,54,94
15,55,95
16,56,96
11,61,81
12,62,82
13,63,83
14,64,84
15,65,85
16,66,86
21,41,91
22,42,92
23,43,93
24,44,94
25,45,95
26,46,96
